"Gene","Direction"
"DGKA","Both"
"LINC01619","Both"
"AC025164.1","Both"
"TTC6","Both"
"LMF1","Both"
"CHRNE","Both"
"ERBB2","Both"
"ASXL1","Both"
"NADK","Both"
"LHX4","Both"
"SLC11A1","Both"
"ASIC4","Both"
"TMEM198","Both"
"TRIM71","Both"
"RNF123","Both"
"UVSSA","Both"
"RGS12","Both"
"AC105383.1","Both"
"PCDH10","Both"
"RBM24","Both"
"AL645922.1","Both"
"CFB","Both"
"AC009879.4","Both"
"AC009879.2","Both"
"AC009879.3","Both"
"ADHFE1","Both"
"MSC-AS1","Both"
"PCAT1","Both"
"AC068580.4","Both"
"CTSD","Both"
"TSPAN32","Both"
"OSBPL5","Both"
"NEAT1","Both"
"SLC38A1","Both"
"OTX2","Both"
"ATP10A","Both"
"NR2F2-AS1","Both"
"NR2F2","Both"
"BAIAP3","Both"
"ACSF2","Both"
"RPL38","Both"
"TTYH2","Both"
"MCRIP1","Both"
"KCTD1","Both"
"VPS16","Both"
"AP000282.1","Both"
"PDGFB","Both"
"AL031590.1","Both"
"BIK","Both"
"AL713999.2","Both"
"TRIM46","Both"
"NR5A2","Both"
"TGFB2","Both"
"PPM1G","Both"
"CTNNA2","Both"
"PJVK","Both"
"IGFBP5","Both"
"AC007563.2","Both"
"ASIC4-AS1","Both"
"ACAA1","Both"
"CSPG5","Both"
"MECOM","Both"
"DVL3","Both"
"AP2M1","Both"
"PITX2","Both"
"VCAN","Both"
"ATOX1","Both"
"AL391422.2","Both"
"WAKMAR2","Both"
"TNFAIP3","Both"
"AL592429.2","Both"
"PRKAR1B","Both"
"CPVL","Both"
"AC004593.2","Both"
"CHN2","Both"
"CDK14","Both"
"RGS20","Both"
"SLCO5A1","Both"
"AC079089.1","Both"
"NFKB2","Both"
"GFRA1","Both"
"MGMT","Both"
"SLC6A5","Both"
"EML3","Both"
"AC011603.2","Both"
"TUBA1C","Both"
"AC048338.2","Both"
"DIABLO","Both"
"AC048338.1","Both"
"TSC22D1","Both"
"AL139184.1","Both"
"ACTN1","Both"
"ACTN1-AS1","Both"
"DLL4","Both"
"AC005606.2","Both"
"AC007614.1","Both"
"NDRG4","Both"
"BRCA1","Both"
"RECQL5","Both"
"SEPTIN9","Both"
"NOL4","Both"
"MAN2B1","Both"
"WDR83","Both"
"NFIX","Both"
"ZNF296","Both"
"GEMIN7-AS1","Both"
"MARK4","Both"
"PMEPA1","Both"
"RUNX1","Both"
"AP000331.1","Both"
"TMEM240","Both"
"SSU72","Both"
"FAAP20","Both"
"TMEM51-AS1","Both"
"TMEM51","Both"
"CSMD2","Both"
"C1orf94","Both"
"NFYC","Both"
"RNF220","Both"
"SYT6","Both"
"MINDY1","Both"
"LMX1A","Both"
"ESRRG","Both"
"AC097468.2","Both"
"CRYBA2","Both"
"CCDC12","Both"
"NBEAL2","Both"
"ADAMTS9","Both"
"ADAMTS9-AS2","Both"
"ARHGEF26","Both"
"THPO","Both"
"CHRD","Both"
"FGF5","Both"
"UNC5C","Both"
"CYFIP2","Both"
"IRF4","Both"
"FRS3","Both"
"GLI3","Both"
"GRB10","Both"
"NPM2","Both"
"SORBS3","Both"
"DUSP4","Both"
"AC084262.2","Both"
"FAM83A","Both"
"U3","Both"
"LRSAM1","Both"
"TET1","Both"
"ANXA11","Both"
"AL139339.1","Both"
"CALHM1","Both"
"NAV2","Both"
"AHNAK","Both"
"CAPN1","Both"
"LTBP3","Both"
"GRIA4","Both"
"ZPR1","Both"
"FAM234B","Both"
"GSG1","Both"
"DNAJC14","Both"
"TMEM198B","Both"
"RPSAP52","Both"
"HMGA2","Both"
"CHFR","Both"
"TRIM9","Both"
"AKT1","Both"
"GANC","Both"
"MYO9A","Both"
"SENP8","Both"
"RASGRF1","Both"
"CPEB1","Both"
"CPEB1-AS1","Both"
"NTRK3","Both"
"RGMA","Both"
"HAS3","Both"
"CBFA2T3","Both"
"AC003688.1","Both"
"HNF1B","Both"
"PPP1R1B","Both"
"NME1-NME2","Both"
"TSPOAP1","Both"
"TSPOAP1-AS1","Both"
"OGFOD3","Both"
"HEXD","Both"
"GAREM1","Both"
"AC025887.2","Both"
"PNPLA6","Both"
"SLC1A5","Both"
"PRMT1","Both"
"BCL2L1","Both"
"MIR1-1HG","Both"
"RTEL1","Both"
"RTEL1-TNFRSF6B","Both"
"RNF215","Both"
"SEC14L2","Both"
"SMTN","Both"
"KLHL21","Both"
"PIGV","Both"
"LINC01226","Both"
"AC114488.1","Both"
"TINAGL1","Both"
"BARHL2","Both"
"ADAMTSL4-AS2","Both"
"ADAMTSL4","Both"
"MCL1","Both"
"SLC39A1","Both"
"AL358472.7","Both"
"TMCC2","Both"
"DNMT3A","Both"
"CNNM4","Both"
"DARS1","Both"
"DARS-AS1","Both"
"COPS9","Both"
"TWF2","Both"
"CTBP1-DT","Both"
"DCUN1D4","Both"
"CAMK2D","Both"
"BASP1","Both"
"BASP1-AS1","Both"
"SLC1A3","Both"
"EDIL3","Both"
"RHOBTB3","Both"
"P4HA2","Both"
"SLC22A4","Both"
"SEPTIN8","Both"
"FAXDC2","Both"
"AL121932.2","Both"
"SNAP91","Both"
"GRM1","Both"
"TMEM184A","Both"
"FOXK1","Both"
"SCRN1","Both"
"FKBP14-AS1","Both"
"PPP1R9A","Both"
"FBXO24","Both"
"PCOLCE-AS1","Both"
"PCOLCE","Both"
"ZNF775","Both"
"SFRP1","Both"
"ST3GAL1","Both"
"SCRT1","Both"
"TMEM8B","Both"
"NTRK2","Both"
"DAPK1","Both"
"PIP5KL1","Both"
"ABCA2","Both"
"C9orf139","Both"
"FUT7","Both"
"CCDC3","Both"
"OPTN","Both"
"ARHGAP12","Both"
"KCNMA1","Both"
"TLX1NB","Both"
"JAKMIP3","Both"
"TRPM5","Both"
"MPPED2","Both"
"CPT1A","Both"
"NUMA1","Both"
"AP000812.4","Both"
"LRTOMT","Both"
"PGR","Both"
"TMEM123","Both"
"ARHGAP20","Both"
"CADM1","Both"
"SLC6A12","Both"
"PCED1B","Both"
"AC078778.1","Both"
"MBD6","Both"
"MCF2L","Both"
"ADPRHL1","Both"
"DCUN1D2","Both"
"AL049777.1","Both"
"DPF3","Both"
"GTF2A1","Both"
"CRABP1","Both"
"UNKL","Both"
"PKMYT1","Both"
"GPT2","Both"
"FHOD1","Both"
"SLC9A5","Both"
"ANKRD11","Both"
"MPDU1","Both"
"NTN1","Both"
"NMT1","Both"
"IGF2BP1","Both"
"AXIN2","Both"
"AC004805.1","Both"
"METRNL","Both"
"SALL3","Both"
"UHRF1","Both"
"RBM38-AS1","Both"
"CSNK1E","Both"
"TPTEP2-CSNK1E","Both"
"PHF21B","Both"
"SAMD11","Both"
"PLCH2","Both"
"KCND3","Both"
"AL691442.1","Both"
"EFNA3","Both"
"FHL2","Both"
"IHH","Both"
"TUBA4A","Both"
"TUBA4B","Both"
"ARPP21","Both"
"GNAI2","Both"
"NT5DC2","Both"
"C3orf14","Both"
"ISY1-RAB43","Both"
"RSRC1","Both"
"B3GALNT1","Both"
"NMD3","Both"
"TNK2","Both"
"NWD2","Both"
"GPAT3","Both"
"ZNF827","Both"
"TLL1","Both"
