"Gene","Direction"
"AC073548.2","Hypermethylated"
"CA11","Hypermethylated"
"BCAT2","Hypermethylated"
"AC026803.3","Hypermethylated"
"AC008687.8","Hypermethylated"
"NTF4","Hypermethylated"
"AC008687.3","Hypermethylated"
"KLK8","Hypermethylated"
"AC010332.3","Hypermethylated"
"AC011476.3","Hypermethylated"
"GP6","Hypermethylated"
"AC011476.2","Hypermethylated"
"ZNF749","Hypermethylated"
"AC012313.3","Hypermethylated"
"ZNF497","Hypermethylated"
"AC012313.2","Hypermethylated"
"AL035252.4","Hypermethylated"
"AL035420.3","Hypermethylated"
"GTSF1L","Hypermethylated"
"AL008725.1","Hypermethylated"
"BHLHE23","Hypermethylated"
"AL121845.1","Hypermethylated"
"TMPRSS3","Hypermethylated"
"AJ011932.1","Hypermethylated"
"PLA2G3","Hypermethylated"
"CHADL","Hypermethylated"
"TRABD","Hypermethylated"
"AC000050.2","Hypermethylated"
"LINC02593","Hypermethylated"
"ENO1","Hypermethylated"
"AL590556.3","Hypermethylated"
"LINC01635","Hypermethylated"
"LINC00339","Hypermethylated"
"GPR3","Hypermethylated"
"FAM167B","Hypermethylated"
"GUCA2A","Hypermethylated"
"RNF11","Hypermethylated"
"AL162430.2","Hypermethylated"
"AL591167.1","Hypermethylated"
"AL355483.2","Hypermethylated"
"TTC4","Hypermethylated"
"MIR6068","Hypermethylated"
"MIR942","Hypermethylated"
"LINC01351","Hypermethylated"
"B3GALT2","Hypermethylated"
"PHLDA3","Hypermethylated"
"AL160408.4","Hypermethylated"
"AL160408.6","Hypermethylated"
"MSGN1","Hypermethylated"
"AC097724.1","Hypermethylated"
"LINC01816","Hypermethylated"
"BOLA3","Hypermethylated"
"BOLA3-AS1","Hypermethylated"
"AC005041.2","Hypermethylated"
"AC005041.4","Hypermethylated"
"AC068057.3","Hypermethylated"
"AC013402.1","Hypermethylated"
"HNMT","Hypermethylated"
"NMI","Hypermethylated"
"CD302","Hypermethylated"
"AC009961.3","Hypermethylated"
"TANK-AS1","Hypermethylated"
"HAGLROS","Hypermethylated"
"CATIP","Hypermethylated"
"CATIP-AS1","Hypermethylated"
"ZNF619","Hypermethylated"
"AC096887.2","Hypermethylated"
"AC137936.1","Hypermethylated"
"GXYLT2","Hypermethylated"
"AC117422.1","Hypermethylated"
"AC137695.3","Hypermethylated"
"HMCES","Hypermethylated"
"GPR149","Hypermethylated"
"MFN1","Hypermethylated"
"EIF4A2","Hypermethylated"
"SNORA63B","Hypermethylated"
"MIR1248","Hypermethylated"
"SNORA81","Hypermethylated"
"SNORA4","Hypermethylated"
"AC080129.2","Hypermethylated"
"LINC00887","Hypermethylated"
"FBXL5","Hypermethylated"
"SOD3","Hypermethylated"
"CXCL6","Hypermethylated"
"NEUROG2-AS1","Hypermethylated"
"LINC02435","Hypermethylated"
"GUSBP5","Hypermethylated"
"AC084871.3","Hypermethylated"
"ZDHHC11","Hypermethylated"
"AC026748.3","Hypermethylated"
"DAP","Hypermethylated"
"AC012629.2","Hypermethylated"
"CARD6","Hypermethylated"
"MIR2277","Hypermethylated"
"AC106818.2","Hypermethylated"
"CSF2","Hypermethylated"
"CD14","Hypermethylated"
"PDE6A","Hypermethylated"
"C5orf52","Hypermethylated"
"HEIH","Hypermethylated"
"LINC00847","Hypermethylated"
"AC008620.2","Hypermethylated"
"AL138740.1","Hypermethylated"
"STMND1","Hypermethylated"
"H2BC3","Hypermethylated"
"H2AC5P","Hypermethylated"
"ZSCAN12P1","Hypermethylated"
"Z98745.1","Hypermethylated"
"HCG15","Hypermethylated"
"AL355353.1","Hypermethylated"
"IMPG1","Hypermethylated"
"TMEM244","Hypermethylated"
"SLC18B1","Hypermethylated"
"RAET1G","Hypermethylated"
"SYNE1-AS1","Hypermethylated"
"TSPAN13","Hypermethylated"
"C7orf57","Hypermethylated"
"AC073349.1","Hypermethylated"
"CLEC2L","Hypermethylated"
"AC019257.2","Hypermethylated"
"AC090541.1","Hypermethylated"
"LGI3","Hypermethylated"
"AC107959.4","Hypermethylated"
"AC107959.5","Hypermethylated"
"TNFRSF10C","Hypermethylated"
"AC120036.3","Hypermethylated"
"MOS","Hypermethylated"
"AP003472.2","Hypermethylated"
"AC084123.1","Hypermethylated"
"RNU7-124P","Hypermethylated"
"C9orf64","Hypermethylated"
"DIRAS2","Hypermethylated"
"C9orf129","Hypermethylated"
"NIPSNAP3B","Hypermethylated"
"FSD1L","Hypermethylated"
"WDR38","Hypermethylated"
"AL360268.1","Hypermethylated"
"DYNC2I2","Hypermethylated"
"GBGT1","Hypermethylated"
"MIR126","Hypermethylated"
"ENTPD2","Hypermethylated"
"HACD1","Hypermethylated"
"WAC-AS1","Hypermethylated"
"AL161935.1","Hypermethylated"
"LINC00838","Hypermethylated"
"C10orf53","Hypermethylated"
"AC010997.5","Hypermethylated"
"AC010997.4","Hypermethylated"
"AC022395.1","Hypermethylated"
"AL451069.3","Hypermethylated"
"AL360181.1","Hypermethylated"
"PRAP1","Hypermethylated"
"AC021269.3","Hypermethylated"
"RCN1","Hypermethylated"
"CD59","Hypermethylated"
"PAMR1","Hypermethylated"
"ALKBH3-AS1","Hypermethylated"
"CNTF","Hypermethylated"
"AP000769.1","Hypermethylated"
"AP002748.2","Hypermethylated"
"AP001922.5","Hypermethylated"
"C11orf97","Hypermethylated"
"SCN3B","Hypermethylated"
"AC005912.2","Hypermethylated"
"METTL7A","Hypermethylated"
"AC121757.1","Hypermethylated"
"LINC02454","Hypermethylated"
"LINC00327","Hypermethylated"
"AL391560.2","Hypermethylated"
"MRPS31P5","Hypermethylated"
"PRECSIT","Hypermethylated"
"REM2","Hypermethylated"
"AL355053.1","Hypermethylated"
"AL391262.1","Hypermethylated"
"AL135818.2","Hypermethylated"
"AL133373.3","Hypermethylated"
"MIR370","Hypermethylated"
"LINC02323","Hypermethylated"
"RNU7-160P","Hypermethylated"
"EMC4","Hypermethylated"
"ANKRD63","Hypermethylated"
"AC021752.1","Hypermethylated"
"PIGBOS1","Hypermethylated"
"C2CD4B","Hypermethylated"
"AC108861.1","Hypermethylated"
"AC090181.1","Hypermethylated"
"ZNF710","Hypermethylated"
"RGS11","Hypermethylated"
"TPSP2","Hypermethylated"
"PKD1","Hypermethylated"
"AC009065.2","Hypermethylated"
"AC009121.3","Hypermethylated"
"AC009121.2","Hypermethylated"
"AC106739.1","Hypermethylated"
"AC007493.2","Hypermethylated"
"AC027682.5","Hypermethylated"
"VAMP2","Hypermethylated"
"TP53I13","Hypermethylated"
"GAS2L2","Hypermethylated"
"KRT23","Hypermethylated"
"DHX58","Hypermethylated"
"AC109326.1","Hypermethylated"
"FAM171A2","Hypermethylated"
"AC138150.2","Hypermethylated"
"AC005901.1","Hypermethylated"
"ARHGAP27P2","Hypermethylated"
"AC021683.3","Hypermethylated"
"AC016245.2","Hypermethylated"
"AP005137.2","Hypermethylated"
"AC011731.1","Hypermethylated"
"AC010776.2","Hypermethylated"
"AC005256.1","Hypermethylated"
"AC024592.2","Hypermethylated"
"AC104532.1","Hypermethylated"
"CAPS","Hypermethylated"
"IER2","Hypermethylated"
"RASAL3","Hypermethylated"
"CNFN","Hypermethylated"
"CGB7","Hypermethylated"
"AC008687.7","Hypermethylated"
"UBE2S","Hypermethylated"
"SRXN1","Hypermethylated"
"LINC00654","Hypermethylated"
"AL161938.1","Hypermethylated"
"COX4I2","Hypermethylated"
"AP006748.1","Hypermethylated"
"PCSEAT","Hypermethylated"
"AC007666.1","Hypermethylated"
"TUBA3FP","Hypermethylated"
"AC002472.3","Hypermethylated"
"AL022322.1","Hypermethylated"
"AL022316.1","Hypermethylated"
"SERHL2","Hypermethylated"
"PLEKHN1","Hypermethylated"
"ACAP3","Hypermethylated"
"TNFRSF14-AS1","Hypermethylated"
"HSPB7","Hypermethylated"
"CLCNKA","Hypermethylated"
"IL22RA1","Hypermethylated"
"ZPLD2P","Hypermethylated"
"TAF12","Hypermethylated"
"RAB42","Hypermethylated"
"AL035404.2","Hypermethylated"
"AL033527.2","Hypermethylated"
"CITED4","Hypermethylated"
"MCOLN2","Hypermethylated"
"AL445438.1","Hypermethylated"
"AC099063.4","Hypermethylated"
"AC104453.1","Hypermethylated"
"LINC01356","Hypermethylated"
"LINC01357","Hypermethylated"
"AP4B1-AS1","Hypermethylated"
"PAQR6","Hypermethylated"
"Z99943.2","Hypermethylated"
"Z99943.1","Hypermethylated"
"LINC01686","Hypermethylated"
"AL592146.1","Hypermethylated"
"AC092803.1","Hypermethylated"
"AC092803.4","Hypermethylated"
"LINC02817","Hypermethylated"
"AC106875.2","Hypermethylated"
"LINC00954","Hypermethylated"
"AC007391.2","Hypermethylated"
"RNU6-951P","Hypermethylated"
"AC093702.1","Hypermethylated"
"KCNK12","Hypermethylated"
"AC110769.1","Hypermethylated"
"AC110620.2","Hypermethylated"
"DAPL1","Hypermethylated"
"CYBRD1","Hypermethylated"
"AC104088.3","Hypermethylated"
"CHROMR","Hypermethylated"
"AC104076.1","Hypermethylated"
"LINC01494","Hypermethylated"
"SP140L","Hypermethylated"
"LINC02610","Hypermethylated"
"EIF1B","Hypermethylated"
"MIR4787","Hypermethylated"
"AC115282.1","Hypermethylated"
"FOXP1-AS1","Hypermethylated"
"LINC00506","Hypermethylated"
"AC112487.1","Hypermethylated"
"CD200","Hypermethylated"
"AC092468.1","Hypermethylated"
"AC126182.3","Hypermethylated"
"AC084211.1","Hypermethylated"
"LINC00888","Hypermethylated"
"FGF12-AS2","Hypermethylated"
"AC114744.2","Hypermethylated"
"BST1","Hypermethylated"
"ARL9","Hypermethylated"
"AC106864.1","Hypermethylated"
"UGT3A1","Hypermethylated"
"UGT3A2","Hypermethylated"
"AC025449.2","Hypermethylated"
"AC011416.3","Hypermethylated"
"LINC02863","Hypermethylated"
"ADRB2","Hypermethylated"
"LINC01932","Hypermethylated"
"LINC01944","Hypermethylated"
"AL391422.4","Hypermethylated"
"AL590004.3","Hypermethylated"
"AL590004.2","Hypermethylated"
"SOX4","Hypermethylated"
"AL590084.2","Hypermethylated"
"SLC17A2","Hypermethylated"
"AL513548.2","Hypermethylated"
"AL009179.2","Hypermethylated"
"AL671883.1","Hypermethylated"
"BAK1","Hypermethylated"
"CLPSL2","Hypermethylated"
"TREM1","Hypermethylated"
"CRISP2","Hypermethylated"
"PM20D2","Hypermethylated"
"SF3B5","Hypermethylated"
"AL357075.2","Hypermethylated"
"CACYBPP3","Hypermethylated"
"AL109933.5","Hypermethylated"
"AL356123.2","Hypermethylated"
"PRKAR1B-AS2","Hypermethylated"
"SDK1-AS1","Hypermethylated"
"AC068533.4","Hypermethylated"
"CRCP","Hypermethylated"
"AC068533.3","Hypermethylated"
"AC000058.1","Hypermethylated"
"AC000120.2","Hypermethylated"
"CYP51A1-AS1","Hypermethylated"
"LRRD1","Hypermethylated"
"AC073842.1","Hypermethylated"
"YBX1P2","Hypermethylated"
"AC087071.1","Hypermethylated"
"EPHA1","Hypermethylated"
"AC005229.4","Hypermethylated"
"GIMAP6","Hypermethylated"
"AC008060.2","Hypermethylated"
"AC037441.1","Hypermethylated"
"ERLIN2","Hypermethylated"
"AC138356.2","Hypermethylated"
"AC022616.1","Hypermethylated"
"AC091076.1","Hypermethylated"
"H2AZP2","Hypermethylated"
"C8orf88","Hypermethylated"
"PLGRKT","Hypermethylated"
"AL162411.1","Hypermethylated"
"AL391834.3","Hypermethylated"
"ACER2","Hypermethylated"
"GAS1","Hypermethylated"
"LINC02872","Hypermethylated"
"FOXE1","Hypermethylated"
"AL807776.1","Hypermethylated"
"AL158070.2","Hypermethylated"
"AL162727.2","Hypermethylated"
"AC006450.2","Hypermethylated"
"RABEPK","Hypermethylated"
"FAM166A","Hypermethylated"
"AL596223.1","Hypermethylated"
"AC018511.6","Hypermethylated"
"C10orf99","Hypermethylated"
"HECTD2","Hypermethylated"
"AL157834.2","Hypermethylated"
"LZTS2","Hypermethylated"
"PRLHR","Hypermethylated"
"AL731571.1","Hypermethylated"
"AC079296.2","Hypermethylated"
"MIR5691","Hypermethylated"
"MIR6124","Hypermethylated"
"FIBIN","Hypermethylated"
"PLAAT3","Hypermethylated"
"AP002892.2","Hypermethylated"
"AP001825.1","Hypermethylated"
"EXPH5","Hypermethylated"
"ATN1","Hypermethylated"
"MTERF2","Hypermethylated"
"GLTP","Hypermethylated"
"FGF14-AS2","Hypermethylated"
"AL137002.2","Hypermethylated"
"LINC02310","Hypermethylated"
"LINC02274","Hypermethylated"
"AC020658.3","Hypermethylated"
"ZNF106","Hypermethylated"
"BCL2L10","Hypermethylated"
"UBE2Q2","Hypermethylated"
"TMC3","Hypermethylated"
"AC016597.1","Hypermethylated"
"TMED6","Hypermethylated"
"AC099508.1","Hypermethylated"
"CRK","Hypermethylated"
"AC005696.4","Hypermethylated"
"AC016876.2","Hypermethylated"
"CD68","Hypermethylated"
"MIR4314","Hypermethylated"
"AC130686.1","Hypermethylated"
"ATP6V0A1","Hypermethylated"
"AC008105.1","Hypermethylated"
"COPZ2","Hypermethylated"
"MIR152","Hypermethylated"
"AC005920.4","Hypermethylated"
"SAP30BP","Hypermethylated"
"AC116025.1","Hypermethylated"
"ACTG1","Hypermethylated"
"DLGAP1-AS2","Hypermethylated"
"AC023421.2","Hypermethylated"
"SLC14A1","Hypermethylated"
"AC012615.4","Hypermethylated"
"AC104521.1","Hypermethylated"
"MPND","Hypermethylated"
"HDGFL2","Hypermethylated"
"CCL25","Hypermethylated"
"ZNF439","Hypermethylated"
"ZNF69","Hypermethylated"
"SYCE2","Hypermethylated"
"ANO8","Hypermethylated"
"TMEM221","Hypermethylated"
"LINC00904","Hypermethylated"
"LINC01838","Hypermethylated"
"CEACAM21","Hypermethylated"
"LYPD3","Hypermethylated"
"ZNF575","Hypermethylated"
"AC005622.1","Hypermethylated"
"CLEC11A","Hypermethylated"
"SPACA6P-AS","Hypermethylated"
"MIR99B","Hypermethylated"
"MIRLET7E","Hypermethylated"
"MIR125A","Hypermethylated"
"AC010327.8","Hypermethylated"
"NAT14","Hypermethylated"
"A1BG-AS1","Hypermethylated"
"SPEF1","Hypermethylated"
"AL160411.1","Hypermethylated"
"CEBPB","Hypermethylated"
"LINC01271","Hypermethylated"
"MIR1257","Hypermethylated"
"ADRM1","Hypermethylated"
"AL354836.1","Hypermethylated"
"DSCR9","Hypermethylated"
"AP001432.1","Hypermethylated"
"LINC00479","Hypermethylated"
"LINC00112","Hypermethylated"
"LINC01679","Hypermethylated"
"AATBC","Hypermethylated"
"AP001471.1","Hypermethylated"
"ESS2","Hypermethylated"
"TSSK2","Hypermethylated"
"SHISA8","Hypermethylated"
"BX537318.2","Hypermethylated"
"BX537318.1","Hypermethylated"
"BTBD6P1","Hypermethylated"
"BCAR3-AS1","Hypermethylated"
"VCAM1","Hypermethylated"
"SLC16A4","Hypermethylated"
"ECM1","Hypermethylated"
"PPP1R15B","Hypermethylated"
"AVPR1B","Hypermethylated"
"AC244035.1","Hypermethylated"
"CR1L","Hypermethylated"
"CD46P1","Hypermethylated"
"LINC02771","Hypermethylated"
"MTARC1","Hypermethylated"
"LINC02765","Hypermethylated"
"AL731702.1","Hypermethylated"
"AL451007.3","Hypermethylated"
"AL451007.2","Hypermethylated"
"LINC01460","Hypermethylated"
"AC093833.1","Hypermethylated"
"AC068057.1","Hypermethylated"
"LINC01918","Hypermethylated"
"DPP10-AS1","Hypermethylated"
"AC017033.1","Hypermethylated"
"MAP3K2-DT","Hypermethylated"
"AC079776.5","Hypermethylated"
"CXCR2","Hypermethylated"
"AC019130.1","Hypermethylated"
"SNORC","Hypermethylated"
"SNORD39","Hypermethylated"
"AC097639.1","Hypermethylated"
"TDGF1","Hypermethylated"
"AC104304.2","Hypermethylated"
"FAM240A","Hypermethylated"
"TMIE","Hypermethylated"
"AC063938.1","Hypermethylated"
"ZBED2","Hypermethylated"
"AC079848.2","Hypermethylated"
"AC097381.1","Hypermethylated"
"AC116612.1","Hypermethylated"
"AC105389.2","Hypermethylated"
"CXCL5","Hypermethylated"
"AC097709.1","Hypermethylated"
"AC093824.2","Hypermethylated"
"AC008966.3","Hypermethylated"
"AC010420.1","Hypermethylated"
"OCLN","Hypermethylated"
"LINC01023","Hypermethylated"
"FBLL1","Hypermethylated"
"H3C3","Hypermethylated"
"H2BC6","Hypermethylated"
"AL021808.1","Hypermethylated"
"LY6G6D","Hypermethylated"
"HSPA1B","Hypermethylated"
"AL139274.2","Hypermethylated"
"AL034348.1","Hypermethylated"
"FUT9","Hypermethylated"
"ULBP1","Hypermethylated"
"AC211433.2","Hypermethylated"
"AC004969.1","Hypermethylated"
"DPY19L2P4","Hypermethylated"
"ZSCAN25","Hypermethylated"
"RNA5SP242","Hypermethylated"
"RNA5SP245","Hypermethylated"
"LINC02599","Hypermethylated"
"AC027250.2","Hypermethylated"
"IMPA1P1","Hypermethylated"
"FLJ42969","Hypermethylated"
"AC139019.1","Hypermethylated"
"AC011676.3","Hypermethylated"
"VPS28","Hypermethylated"
"AL358976.1","Hypermethylated"
"AL365204.1","Hypermethylated"
"NIBAN2","Hypermethylated"
"ST8SIA6","Hypermethylated"
"OTUD1","Hypermethylated"
"UNC5B-AS1","Hypermethylated"
"AL844892.1","Hypermethylated"
"IFIT2","Hypermethylated"
"AL353751.1","Hypermethylated"
"AL512424.1","Hypermethylated"
"LINC01475","Hypermethylated"
"AL133387.1","Hypermethylated"
"SLC25A51P4","Hypermethylated"
"LINC02696","Hypermethylated"
"PTGDR2","Hypermethylated"
"AP000944.7","Hypermethylated"
"AP002992.1","Hypermethylated"
"FNTAP1","Hypermethylated"
"DEUP1","Hypermethylated"
"FOXR1","Hypermethylated"
"AP000679.1","Hypermethylated"
"SLC6A12-AS1","Hypermethylated"
"NRIP2","Hypermethylated"
"CLEC1A","Hypermethylated"
"AC025154.1","Hypermethylated"
"KRT3","Hypermethylated"
"AC073655.3","Hypermethylated"
"LINC02409","Hypermethylated"
"AC007637.1","Hypermethylated"
"LHX5-AS1","Hypermethylated"
"AC073912.3","Hypermethylated"
"CCDC175","Hypermethylated"
"TMEM30B","Hypermethylated"
"ACOT4","Hypermethylated"
"AL133467.1","Hypermethylated"
"MIR4715","Hypermethylated"
"LINC01852","Hypermethylated"
"AC087385.1","Hypermethylated"
"AC027237.4","Hypermethylated"
"FAH","Hypermethylated"
"AC108451.2","Hypermethylated"
"SCAND2P","Hypermethylated"
"EGLN1P1","Hypermethylated"
"AC124248.1","Hypermethylated"
"IGFALS","Hypermethylated"
"AC099518.1","Hypermethylated"
"ITPRIPL2","Hypermethylated"
"LINC02175","Hypermethylated"
"KAT8","Hypermethylated"
"AC009088.3","Hypermethylated"
"AC093520.1","Hypermethylated"
"MT1A","Hypermethylated"
"RNU6-1110P","Hypermethylated"
"AC040160.2","Hypermethylated"
"AC090617.1","Hypermethylated"
"ZNF232","Hypermethylated"
"USP6","Hypermethylated"
"ASGR1","Hypermethylated"
"MFSD6L","Hypermethylated"
"SLC47A1P1","Hypermethylated"
"C17orf50","Hypermethylated"
"UBTF","Hypermethylated"
"MIR1203","Hypermethylated"
"AC005920.2","Hypermethylated"
"PRR29-AS1","Hypermethylated"
"AC005837.4","Hypermethylated"
"EIF5AP2","Hypermethylated"
"GAA","Hypermethylated"
"AC115099.1","Hypermethylated"
"TSPAN10","Hypermethylated"
"AP001025.1","Hypermethylated"
"STK25P1","Hypermethylated"
"ANKRD30B","Hypermethylated"
"AC012101.2","Hypermethylated"
"TLE6","Hypermethylated"
"C19orf71","Hypermethylated"
"AC018761.3","Hypermethylated"
"ADGRE5","Hypermethylated"
"AC008894.3","Hypermethylated"
"AC008649.1","Hypermethylated"
"LRFN1","Hypermethylated"
"MIR150","Hypermethylated"
"AC006942.1","Hypermethylated"
"LZTS3","Hypermethylated"
"AL035071.1","Hypermethylated"
"AL021578.1","Hypermethylated"
"RAB22A","Hypermethylated"
"AP001442.1","Hypermethylated"
"ADAMTS1","Hypermethylated"
"AP001628.2","Hypermethylated"
"AP001468.1","Hypermethylated"
"AP000553.5","Hypermethylated"
"AL031587.1","Hypermethylated"
"MAPK11","Hypermethylated"
"MTOR-AS1","Hypermethylated"
"MFAP2","Hypermethylated"
"AL049569.2","Hypermethylated"
"RPS15AP10","Hypermethylated"
"POLR3GL","Hypermethylated"
"FMO5","Hypermethylated"
"AL590666.3","Hypermethylated"
"DUSP23","Hypermethylated"
"AC096677.2","Hypermethylated"
"AL359979.1","Hypermethylated"
"EGLN1","Hypermethylated"
"AC104335.1","Hypermethylated"
"RAD51AP2","Hypermethylated"
"C2orf73","Hypermethylated"
"LINC01800","Hypermethylated"
"AC012370.1","Hypermethylated"
"MIR4783","Hypermethylated"
"PLAC9P1","Hypermethylated"
"LINC01856","Hypermethylated"
"AC016737.2","Hypermethylated"
"ZSWIM2","Hypermethylated"
"USP40","Hypermethylated"
"EAF1-AS1","Hypermethylated"
"MIR564","Hypermethylated"
"TMEM42","Hypermethylated"
"MIRLET7G","Hypermethylated"
"RNU6-856P","Hypermethylated"
"PLCXD2-AS1","Hypermethylated"
"GOLGB1","Hypermethylated"
"CSTA","Hypermethylated"
"LINC02000","Hypermethylated"
"PLSCR2","Hypermethylated"
"GPS2P2","Hypermethylated"
"AC073365.1","Hypermethylated"
"AC093323.4","Hypermethylated"
"PDS5A","Hypermethylated"
"RNA5SP159","Hypermethylated"
"RNA5SP160","Hypermethylated"
"AC021220.2","Hypermethylated"
"EXOC1L","Hypermethylated"
"LINC02380","Hypermethylated"
"AC097462.3","Hypermethylated"
"LINC01513","Hypermethylated"
"RNA5SP180","Hypermethylated"
"ENC1","Hypermethylated"
"ANKDD1B","Hypermethylated"
"DIAPH1-AS1","Hypermethylated"
"MIR4634","Hypermethylated"
"H2AC3P","Hypermethylated"
"H4C4","Hypermethylated"
"HCG11","Hypermethylated"
"HLA-G","Hypermethylated"
"HCG4P8","Hypermethylated"
"MIR30A","Hypermethylated"
"PSMG3","Hypermethylated"
"AC005083.1","Hypermethylated"
"CCM2","Hypermethylated"
"NUPR2","Hypermethylated"
"AC069335.1","Hypermethylated"
"AC105046.2","Hypermethylated"
"AC041005.1","Hypermethylated"
"ATP8B5P","Hypermethylated"
"RGP1","Hypermethylated"
"AL133410.2","Hypermethylated"
"AL449403.2","Hypermethylated"
"AL445645.1","Hypermethylated"
"MIR4669","Hypermethylated"
"AC063961.1","Hypermethylated"
"KCNMA1-AS3","Hypermethylated"
"AL513542.1","Hypermethylated"
"AL359094.1","Hypermethylated"
"AC009806.1","Hypermethylated"
"AP001636.3","Hypermethylated"
"AP001007.1","Hypermethylated"
"AC006511.6","Hypermethylated"
"RPL23AP66","Hypermethylated"
"LINC02354","Hypermethylated"
"LINC00615","Hypermethylated"
"RNF6","Hypermethylated"
"LINC00365","Hypermethylated"
"STK24-AS1","Hypermethylated"
"LINC02282","Hypermethylated"
"AL121820.2","Hypermethylated"
"AC004816.2","Hypermethylated"
"DDX24","Hypermethylated"
"AL137786.1","Hypermethylated"
"AL133523.1","Hypermethylated"
"AL163974.1","Hypermethylated"
"LINC00239","Hypermethylated"
"LINC00677","Hypermethylated"
"AC084759.2","Hypermethylated"
"ODF3L1","Hypermethylated"
"DNM1P35","Hypermethylated"
"CTSH","Hypermethylated"
"BCL2A1","Hypermethylated"
"AC091544.6","Hypermethylated"
"H2AZ2P1","Hypermethylated"
"AC012409.1","Hypermethylated"
"AL031710.1","Hypermethylated"
"MIR1225","Hypermethylated"
"PRSS30P","Hypermethylated"
"LINC02861","Hypermethylated"
"AC020663.2","Hypermethylated"
"DCUN1D3","Hypermethylated"
"AC007225.1","Hypermethylated"
"AC007906.2","Hypermethylated"
"AC106742.1","Hypermethylated"
"LINC02135","Hypermethylated"
"AC004706.1","Hypermethylated"
"MIR4520-1","Hypermethylated"
"MIR4520-2","Hypermethylated"
"AC104581.3","Hypermethylated"
"TMEM238L","Hypermethylated"
"AC243829.1","Hypermethylated"
"HEXIM1","Hypermethylated"
"AC003070.2","Hypermethylated"
"CDK5RAP3","Hypermethylated"
"AC007431.1","Hypermethylated"
"RNU7-134P","Hypermethylated"
"MIR21","Hypermethylated"
"AC137735.1","Hypermethylated"
"AC087749.2","Hypermethylated"
"AC132872.2","Hypermethylated"
"AP005271.1","Hypermethylated"
"AP001120.1","Hypermethylated"
"PRELID3A","Hypermethylated"
"AC090241.2","Hypermethylated"
"AC051635.1","Hypermethylated"
"AC018529.3","Hypermethylated"
"AC104530.1","Hypermethylated"
"AC006538.3","Hypermethylated"
"AC005514.1","Hypermethylated"
"AC005787.1","Hypermethylated"
"MRPL4","Hypermethylated"
"AC011511.3","Hypermethylated"
"PLPPR2","Hypermethylated"
"AC022098.1","Hypermethylated"
"ADGRL1","Hypermethylated"
"AC008736.2","Hypermethylated"
"SCGB1B2P","Hypermethylated"
"IFNL4P1","Hypermethylated"
"GNG8","Hypermethylated"
"PPP1R15A","Hypermethylated"
"EDDM13","Hypermethylated"
"A1BG","Hypermethylated"
"AC012313.10","Hypermethylated"
"LRRN4","Hypermethylated"
"BCL2L1-AS1","Hypermethylated"
"MYBL2","Hypermethylated"
"LINC01273","Hypermethylated"
"AP001053.1","Hypermethylated"
"CRKL","Hypermethylated"
"C22orf15","Hypermethylated"
"AL022311.1","Hypermethylated"
"L3MBTL2-AS1","Hypermethylated"
"LINC00634","Hypermethylated"
"SERHL","Hypermethylated"
"AL021392.1","Hypermethylated"
"AL645608.6","Hypermethylated"
"AL645608.8","Hypermethylated"
"AC092265.1","Hypermethylated"
"AC119677.1","Hypermethylated"
"AL592494.2","Hypermethylated"
"EMBP1","Hypermethylated"
"AC245100.1","Hypermethylated"
"S100A2","Hypermethylated"
"AL713852.1","Hypermethylated"
"AL713852.2","Hypermethylated"
"BX571818.1","Hypermethylated"
"LINC02779","Hypermethylated"
"AL162595.2","Hypermethylated"
"AL391832.3","Hypermethylated"
"AC010745.1","Hypermethylated"
"AC011239.2","Hypermethylated"
"PKDCC","Hypermethylated"
"ITGB6","Hypermethylated"
"AC008063.1","Hypermethylated"
"AC110619.1","Hypermethylated"
"LIMD1-AS1","Hypermethylated"
"CDV3P1","Hypermethylated"
"CCDC58","Hypermethylated"
"AC108673.1","Hypermethylated"
"LINC00886","Hypermethylated"
"LINC02029","Hypermethylated"
"RTP4","Hypermethylated"
"AC024559.1","Hypermethylated"
"AC116317.2","Hypermethylated"
"AC097382.1","Hypermethylated"
"PF4V1","Hypermethylated"
"ODAPH","Hypermethylated"
"SPRY1","Hypermethylated"
"LINC00498","Hypermethylated"
"SDHAP3","Hypermethylated"
"AC008875.1","Hypermethylated"
"AC008694.1","Hypermethylated"
"AL031123.1","Hypermethylated"
"AL031123.4","Hypermethylated"
"AL031123.5","Hypermethylated"
"AL353759.1","Hypermethylated"
"RPL10A","Hypermethylated"
"CLPSL1","Hypermethylated"
"LINC02520","Hypermethylated"
"TJAP1","Hypermethylated"
"AC073094.1","Hypermethylated"
"AC074389.3","Hypermethylated"
"AC006483.2","Hypermethylated"
"ZNRF2","Hypermethylated"
"AC004522.5","Hypermethylated"
"ZNF786","Hypermethylated"
"ZNF775-AS1","Hypermethylated"
"LINC01230","Hypermethylated"
"TUSC1","Hypermethylated"
"RNF183","Hypermethylated"
"COMMD3-BMI1","Hypermethylated"
"BMI1","Hypermethylated"
"CDH23-AS1","Hypermethylated"
"AL450306.1","Hypermethylated"
"MARK2P9","Hypermethylated"
"LINC02870","Hypermethylated"
"CD151","Hypermethylated"
"LINC02688","Hypermethylated"
"AC021424.4","Hypermethylated"
"AC124276.2","Hypermethylated"
"LDHAL6A","Hypermethylated"
"LRRN4CL","Hypermethylated"
"CDC42EP2","Hypermethylated"
"AP000769.3","Hypermethylated"
"AC073610.1","Hypermethylated"
"AC125611.3","Hypermethylated"
