"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0032501","BP","multicellular organismal process",7220,7066,5.19495340037428e-35,6.33868090214687e-31
"GO:0071944","CC","cell periphery",5724,5621,5.76768052970598e-35,6.33868090214687e-31
"GO:0005886","CC","plasma membrane",5285,5193,2.07936555066842e-33,1.52348182678973e-29
"GO:0032502","BP","developmental process",6455,6315,5.51693601579e-30,3.03155634067661e-26
"GO:0048856","BP","anatomical structure development",5926,5800,9.43460295097373e-28,4.14745145724805e-24
"GO:0003674","MF","molecular_function",17040,16453,1.32828729870124e-19,4.86595913757555e-16
"GO:0003008","BP","system process",2228,2202,2.44148313967928e-19,7.66625705859295e-16
"GO:0050789","BP","regulation of biological process",11383,11033,2.9890860381689e-18,8.21251388986905e-15
"GO:0065007","BP","biological regulation",11755,11389,4.26377770780131e-18,1.04130926686081e-14
"GO:0023052","BP","signaling",6316,6159,7.28553978810164e-18,1.60136164542474e-14
"GO:0007154","BP","cell communication",6339,6181,8.46925001310153e-18,1.69231013898156e-14
"GO:0007275","BP","multicellular organism development",4697,4598,1.45582240456459e-17,2.66658137102748e-14
"GO:0050896","BP","response to stimulus",8500,8258,5.90999579249745e-17,9.9924390399303e-14
"GO:0048869","BP","cellular developmental process",4407,4313,2.29229517687924e-16,3.54370881620911e-13
"GO:0030154","BP","cell differentiation",4405,4311,2.41836361433743e-16,3.54370881620911e-13
"GO:0048731","BP","system development",4041,3959,4.57287418238626e-16,6.28198590805313e-13
"GO:0007165","BP","signal transduction",5823,5676,8.18704516815154e-16,1.00284628308326e-12
"GO:0005488","MF","binding",15772,15228,8.21257192697848e-16,1.00284628308326e-12
"GO:0005515","MF","protein binding",13899,13439,1.26726250466641e-15,1.46602262381935e-12
"GO:0050794","BP","regulation of cellular process",10975,10627,5.51384407625123e-15,6.0597146398001e-12
"GO:0048513","BP","animal organ development",3014,2960,6.48195641190531e-15,6.78444771112756e-12
"GO:0048468","BP","cell development",2858,2807,3.66187816773e-14,3.60335198398382e-11
"GO:0016020","CC","membrane",8804,8539,3.77056850007406e-14,3.60335198398382e-11
"GO:0051239","BP","regulation of multicellular organismal process",3032,2973,1.44121756601729e-13,1.31991508754416e-10
"GO:0009653","BP","anatomical structure morphogenesis",2756,2706,2.17047507990826e-13,1.90828169025535e-10
"GO:0051716","BP","cellular response to stimulus",7143,6936,7.53539159150577e-13,6.37030412235757e-10
"GO:0038023","MF","signaling receptor activity",1393,1374,1.58709888435211e-11,1.2458726242164e-08
"GO:0060089","MF","molecular transducer activity",1393,1374,1.58709888435211e-11,1.2458726242164e-08
"GO:0050793","BP","regulation of developmental process",2486,2439,1.66335412986724e-11,1.26070771636145e-08
"GO:0050877","BP","nervous system process",1413,1394,1.72972048047188e-11,1.2673085386924e-08
"GO:0007399","BP","nervous system development",2554,2506,1.82766644753748e-11,1.29587446828625e-08
"GO:0098590","CC","plasma membrane region",1280,1266,3.18815144030518e-11,2.13377959586466e-08
"GO:0007186","BP","G protein-coupled receptor signaling pathway",1175,1161,3.20358174083411e-11,2.13377959586466e-08
"GO:0048518","BP","positive regulation of biological process",6088,5915,7.24340418892066e-11,4.68264776683753e-08
"GO:0023051","BP","regulation of signaling",3556,3471,2.21910772187014e-10,1.39227042927508e-07
"GO:0006810","BP","transport",4264,4154,2.2803337331166e-10,1.39227042927508e-07
"GO:0010646","BP","regulation of cell communication",3560,3474,3.8686288193249e-10,2.2981746337503e-07
"GO:0007166","BP","cell surface receptor signaling pathway",2807,2745,4.39284586145843e-10,2.54091452723306e-07
"GO:0048522","BP","positive regulation of cellular process",5717,5554,5.09194314228493e-10,2.86976692993392e-07
"GO:0009888","BP","tissue development",2025,1987,1.01481655400482e-09,5.5764169642565e-07
"GO:0048583","BP","regulation of response to stimulus",4061,3955,1.23102088466147e-09,6.59947293777054e-07
"GO:0007267","BP","cell-cell signaling",1314,1296,1.45308584965893e-09,7.60448261321507e-07
"GO:0004888","MF","transmembrane signaling receptor activity",1124,1108,2.24976809867278e-09,1.14999773974018e-06
"GO:0022008","BP","neurogenesis",1767,1736,4.18597625184954e-09,2.09108540944666e-06
"GO:0009966","BP","regulation of signal transduction",3115,3040,4.43300970157821e-09,2.1652789609042e-06
"GO:0000902","BP","cell morphogenesis",978,968,4.57808659003263e-09,2.18752920106342e-06
"GO:0007600","BP","sensory perception",868,858,5.07524795061646e-09,2.37348829690531e-06
"GO:0051234","BP","establishment of localization",4519,4394,5.71483092167126e-09,2.6169163262153e-06
"GO:0042995","CC","cell projection",2505,2450,6.55301328277766e-09,2.90660765786852e-06
"GO:0141124","BP","intracellular signaling cassette",1951,1913,6.73104115462683e-09,2.90660765786852e-06
"GO:0051179","BP","localization",5203,5053,6.74417609423542e-09,2.90660765786852e-06
"GO:0006811","BP","monoatomic ion transport",1204,1187,8.74916895240534e-09,3.69820641488211e-06
"GO:0140110","MF","transcription regulator activity",1812,1778,8.97232780044739e-09,3.72097669912894e-06
"GO:0043167","MF","ion binding",5800,5626,1.34789589329459e-08,5.4864355064102e-06
"GO:0001216","MF","DNA-binding transcription activator activity",428,428,1.57128850244788e-08,6.25429706698731e-06
"GO:0005737","CC","cytoplasm",11630,11224,1.59345148203498e-08,6.25429706698731e-06
"GO:0051240","BP","positive regulation of multicellular organismal process",1677,1646,1.63087996749316e-08,6.28890205008766e-06
"GO:0003700","MF","DNA-binding transcription factor activity",1328,1307,1.96446590054167e-08,7.35622265006598e-06
"GO:0120036","BP","plasma membrane bounded cell projection organization",1560,1533,1.97460025638714e-08,7.35622265006598e-06
"GO:0001228","MF","DNA-binding transcription activator activity, RNA polymerase II-specific",420,420,2.2103295307423e-08,8.09717384761931e-06
"GO:0048699","BP","generation of neurons",1509,1483,3.84694817506874e-08,1.38616263750837e-05
"GO:0120025","CC","plasma membrane bounded cell projection",2388,2334,4.29113973415359e-08,1.52127824768864e-05
"GO:0009887","BP","animal organ morphogenesis",1013,1000,5.38718847856818e-08,1.87953020252268e-05
"GO:0042221","BP","response to chemical",3804,3696,7.30201806933714e-08,2.50778683068798e-05
"GO:0030054","CC","cell junction",2323,2271,7.83306628690672e-08,2.64878149209553e-05
"GO:0000981","MF","DNA-binding transcription factor activity, RNA polymerase II-specific",1244,1224,8.06655457622898e-08,2.68640711493201e-05
"GO:0036094","MF","small molecule binding",5973,5788,8.39582149066883e-08,2.75433069201345e-05
"GO:0030030","BP","cell projection organization",1605,1575,8.62554740736519e-08,2.78302275863731e-05
"GO:0045595","BP","regulation of cell differentiation",1588,1558,8.73651366451204e-08,2.78302275863731e-05
"GO:0110165","CC","cellular anatomical structure",17713,17028,9.68270826117902e-08,3.04037039401021e-05
"GO:2001141","BP","regulation of RNA biosynthetic process",3143,3062,1.01772924774747e-07,3.15066040359007e-05
"GO:0030182","BP","neuron differentiation",1433,1408,1.11656749600883e-07,3.40863243920472e-05
"GO:0061564","BP","axon development",508,506,1.26329155514597e-07,3.80371895645321e-05
"GO:0006355","BP","regulation of DNA-templated transcription",3131,3050,1.30822697724455e-07,3.88578769727504e-05
"GO:0007155","BP","cell adhesion",1500,1472,1.33327413524049e-07,3.90738206567812e-05
"GO:0032879","BP","regulation of localization",2010,1966,1.36946719640591e-07,3.96064328644763e-05
"GO:0000987","MF","cis-regulatory region sequence-specific DNA binding",1082,1066,1.5332569055959e-07,4.37675153051921e-05
"GO:0004930","MF","G protein-coupled receptor activity",711,702,2.02360817601089e-07,5.70242406522042e-05
"GO:0002376","BP","immune system process",2593,2527,2.38987520813885e-07,6.64929836391038e-05
"GO:0023056","BP","positive regulation of signaling",1830,1791,2.53201725288085e-07,6.95671740229013e-05
"GO:0010647","BP","positive regulation of cell communication",1829,1790,2.6142360993468e-07,7.09393943995588e-05
"GO:0007423","BP","sensory organ development",630,625,2.77066432627317e-07,7.42673193798588e-05
"GO:0031175","BP","neuron projection development",1002,988,2.87878551425198e-07,7.62357898834439e-05
"GO:0000978","MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",1058,1042,3.0188466333795e-07,7.89931535734302e-05
"GO:0098797","CC","plasma membrane protein complex",571,567,3.37191460365286e-07,8.71937446921058e-05
"GO:0065008","BP","regulation of biological quality",2992,2913,3.75551768386607e-07,9.59840449899724e-05
"GO:0009967","BP","positive regulation of signal transduction",1619,1586,4.13831840735722e-07,0.000104551998383577
"GO:0030001","BP","metal ion transport",847,836,5.15965471313366e-07,0.000128874102948497
"GO:1902679","BP","negative regulation of RNA biosynthetic process",1257,1235,5.31641364450853e-07,0.00013129749652393
"GO:0051094","BP","positive regulation of developmental process",1350,1325,5.58540725452136e-07,0.000136348731629766
"GO:1902680","BP","positive regulation of RNA biosynthetic process",1632,1599,5.64501118212406e-07,0.000136348731629766
"GO:0045893","BP","positive regulation of DNA-templated transcription",1630,1597,5.92240946153474e-07,0.000141494086917971
"GO:0048666","BP","neuron development",1158,1139,6.01175151921407e-07,0.000142084191819705
"GO:0045892","BP","negative regulation of DNA-templated transcription",1248,1226,6.93138738902718e-07,0.000162076483841295
"GO:0006357","BP","regulation of transcription by RNA polymerase II",2463,2402,7.11777540288311e-07,0.000164682845637232
"GO:0043005","CC","neuron projection",1284,1261,7.41234003969405e-07,0.000169711702158828
"GO:2000026","BP","regulation of multicellular organismal development",1459,1430,8.20567531350189e-07,0.000185938910712136
"GO:0043169","MF","cation binding",4241,4115,8.33320073594069e-07,0.00018690178793467
"GO:0045944","BP","positive regulation of transcription by RNA polymerase II",1215,1194,8.83451625081075e-07,0.000196144108275576
"GO:0051606","BP","detection of stimulus",547,541,8.92624341639425e-07,0.000196198830292346
"GO:0099536","BP","synaptic signaling",803,793,9.90271278921415e-07,0.000215506561492007
"GO:0003013","BP","circulatory system process",626,620,1.01568280433497e-06,0.000218869686659635
"GO:0000977","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",1254,1231,1.03633705481774e-06,0.000221152315193145
"GO:0051253","BP","negative regulation of RNA metabolic process",1366,1340,1.04775572759693e-06,0.00022143914319789
"GO:0043235","CC","receptor complex",387,386,1.13886618149302e-06,0.000236536624715219
"GO:0001067","MF","transcription regulatory region nucleic acid binding",1351,1325,1.14626452757309e-06,0.000236536624715219
"GO:0009719","BP","response to endogenous stimulus",1540,1508,1.15864506260673e-06,0.000236536624715219
"GO:0051049","BP","regulation of transport",1597,1563,1.16286634988143e-06,0.000236536624715219
"GO:0000976","MF","transcription cis-regulatory region binding",1350,1324,1.17299782047129e-06,0.000236536624715219
"GO:0044057","BP","regulation of system process",578,573,1.22354258430373e-06,0.000241354124179673
"GO:0055085","BP","transmembrane transport",1497,1466,1.22749447294115e-06,0.000241354124179673
"GO:0005102","MF","signaling receptor binding",1423,1394,1.22982993212572e-06,0.000241354124179673
"GO:0007417","BP","central nervous system development",1028,1012,1.26882069927214e-06,0.000246802468761076
"GO:0045934","BP","negative regulation of nucleobase-containing compound metabolic process",1486,1456,1.33546734088332e-06,0.000257487475022941
"GO:0005575","CC","cellular_component",17989,17284,1.36108850990268e-06,0.000260145438675312
"GO:0035556","BP","intracellular signal transduction",3027,2945,1.38274298395346e-06,0.000262005955062905
"GO:0007409","BP","axonogenesis",446,444,1.40474626591424e-06,0.000263900195938418
"GO:0046903","BP","secretion",985,969,1.892809383489e-06,0.000352575849568544
"GO:0006351","BP","DNA-templated transcription",3258,3167,1.99471125470339e-06,0.00036549117950913
"GO:0006812","BP","monoatomic cation transport",1016,999,1.995402253917e-06,0.00036549117950913
"GO:0001501","BP","skeletal system development",528,524,2.0687576297402e-06,0.00037579580745198
"GO:0005215","MF","transporter activity",1183,1161,2.23059969166668e-06,0.000398967772468061
"GO:0045597","BP","positive regulation of cell differentiation",881,868,2.23262220261927e-06,0.000398967772468061
"GO:0099537","BP","trans-synaptic signaling",773,763,2.47851206029568e-06,0.000439336250687896
"GO:0048858","BP","cell projection morphogenesis",659,652,2.64503940976669e-06,0.000465103729813375
"GO:0022836","MF","gated channel activity",298,298,2.90306545032599e-06,0.000503561983296436
"GO:0009891","BP","positive regulation of biosynthetic process",2646,2576,2.90957105908314e-06,0.000503561983296436
"GO:0007268","BP","chemical synaptic transmission",766,756,3.04671566914505e-06,0.000515591195220171
"GO:0098916","BP","anterograde trans-synaptic signaling",766,756,3.04671566914505e-06,0.000515591195220171
"GO:0009605","BP","response to external stimulus",2400,2336,3.04944746945506e-06,0.000515591195220171
"GO:0120039","BP","plasma membrane bounded cell projection morphogenesis",654,647,3.08365822058449e-06,0.000517395478537764
"GO:0048870","BP","cell motility",1850,1806,3.12809016731839e-06,0.000520874408164078
"GO:0005856","CC","cytoskeleton",2418,2355,3.2395356137023e-06,0.000535375885632907
"GO:0016043","BP","cellular component organization",6397,6189,3.51720089012065e-06,0.00057675573283556
"GO:0006366","BP","transcription by RNA polymerase II",2579,2511,3.54240327264789e-06,0.00057675573283556
"GO:0008015","BP","blood circulation",544,539,3.79816404543191e-06,0.00061098989415296
"GO:0071495","BP","cellular response to endogenous stimulus",1297,1271,3.80826276155393e-06,0.00061098989415296
"GO:0007610","BP","behavior",676,668,4.02326086915733e-06,0.000640806332638248
"GO:0007010","BP","cytoskeleton organization",1493,1461,4.20456178870762e-06,0.000664865238243119
"GO:1990837","MF","sequence-specific double-stranded DNA binding",1423,1393,4.41541787323395e-06,0.000693220606097731
"GO:0042391","BP","regulation of membrane potential",457,454,4.44967577877946e-06,0.00069364449374165
"GO:0051241","BP","negative regulation of multicellular organismal process",1234,1209,4.73738975606894e-06,0.000733294555199967
"GO:0030424","CC","axon",635,628,4.78299946071769e-06,0.000735177119906117
"GO:0098657","BP","import into cell",921,906,4.87330617140903e-06,0.00074385603921924
"GO:0048812","BP","neuron projection morphogenesis",638,631,5.06226462109547e-06,0.000764648412888589
"GO:0015711","BP","organic anion transport",445,442,5.07910228761301e-06,0.000764648412888589
"GO:0007167","BP","enzyme-linked receptor protein signaling pathway",1054,1035,5.23587692597213e-06,0.000781308663004959
"GO:0010557","BP","positive regulation of macromolecule biosynthetic process",2527,2460,5.26085905936005e-06,0.000781308663004959
"GO:0034220","BP","monoatomic ion transmembrane transport",982,965,5.38285070824164e-06,0.000794060795752693
"GO:0000122","BP","negative regulation of transcription by RNA polymerase II",926,911,5.78653723273269e-06,0.000847920589169763
"GO:0034330","BP","cell junction organization",819,807,6.45619557402707e-06,0.000939782640510696
"GO:0003006","BP","developmental process involved in reproduction",1003,985,6.59645731658832e-06,0.000953882446175074
"GO:0140352","BP","export from cell",939,923,6.79595467042744e-06,0.000970743358675805
"GO:0046872","MF","metal ion binding",4151,4025,6.85531830036363e-06,0.000970743358675805
"GO:0022603","BP","regulation of anatomical structure morphogenesis",874,860,6.88624750317525e-06,0.000970743358675805
"GO:0098772","MF","molecular function regulator activity",2188,2131,6.88971628541517e-06,0.000970743358675805
"GO:1902533","BP","positive regulation of intracellular signal transduction",1142,1120,7.19384276116707e-06,0.00100641109542623
"GO:0030029","BP","actin filament-based process",806,794,7.23443826557525e-06,0.00100641109542623
"GO:0008150","BP","biological_process",17054,16387,7.92214186331883e-06,0.00109514891921854
"GO:0022857","MF","transmembrane transporter activity",1064,1044,8.37233818592319e-06,0.0011501499582912
"GO:0003690","MF","double-stranded DNA binding",1517,1483,8.67521839017963e-06,0.00118435590196365
"GO:0016477","BP","cell migration",1594,1557,9.01071816362282e-06,0.00122256534096561
"GO:0048667","BP","cell morphogenesis involved in neuron differentiation",575,569,9.85360553515721e-06,0.00132872545805371
"GO:0003012","BP","muscle system process",472,468,1.06200398391304e-05,0.0014233443638054
"GO:0048880","BP","sensory system development",434,431,1.11724840735078e-05,0.00148426337086232
"GO:0061061","BP","muscle structure development",715,705,1.12521400030955e-05,0.00148426337086232
"GO:0051252","BP","regulation of RNA metabolic process",3488,3386,1.12771602790722e-05,0.00148426337086232
"GO:0098742","BP","cell-cell adhesion via plasma-membrane adhesion molecules",267,267,1.18443992348947e-05,0.00154964223323206
"GO:0045177","CC","apical part of cell",509,504,1.21949669152173e-05,0.00156997291011806
"GO:0023057","BP","negative regulation of signaling",1582,1545,1.22091620274561e-05,0.00156997291011806
"GO:0010648","BP","negative regulation of cell communication",1582,1545,1.22140749604272e-05,0.00156997291011806
"GO:0060284","BP","regulation of cell development",823,810,1.23596865508984e-05,0.00157945296737643
"GO:0032940","BP","secretion by cell",847,833,1.27768434355156e-05,0.00162332380758747
"GO:0000785","CC","chromatin",1322,1294,1.35342290447407e-05,0.00170966870346781
"GO:0050906","BP","detection of stimulus involved in sensory perception",424,419,1.41586369410763e-05,0.00177427708624213
"GO:1902531","BP","regulation of intracellular signal transduction",2024,1973,1.42198443698872e-05,0.00177427708624213
"GO:0150063","BP","visual system development",427,424,1.42878546071363e-05,0.00177427708624213
"GO:0048584","BP","positive regulation of response to stimulus",2359,2296,1.65621320407442e-05,0.00203615039440553
"GO:0001654","BP","eye development",423,420,1.65819345131296e-05,0.00203615039440553
"GO:0060429","BP","epithelium development",1235,1209,1.70650801104564e-05,0.00208383589348795
"GO:0007606","BP","sensory perception of chemical stimulus",410,405,2.0105848127517e-05,0.002441583104104
"GO:0036477","CC","somatodendritic compartment",812,799,2.07944502789999e-05,0.00251132976446383
"GO:0030097","BP","hemopoiesis",966,948,2.20437958933956e-05,0.00264766466522861
"GO:0042592","BP","homeostatic process",1754,1711,2.33975131621576e-05,0.00279498553969687
"GO:0034329","BP","cell junction assembly",502,497,2.49620675417706e-05,0.00296576348415199
"GO:0023061","BP","signal release",493,488,2.64164584575486e-05,0.00312168686503719
"GO:0072359","BP","circulatory system development",1228,1202,2.76549195477101e-05,0.00323339490682129
"GO:0098609","BP","cell-cell adhesion",955,937,2.76622699671423e-05,0.00323339490682129
"GO:0051254","BP","positive regulation of RNA metabolic process",1852,1806,2.78030772242595e-05,0.00323339490682129
"GO:0009790","BP","embryo development",1133,1110,2.92091779291654e-05,0.00337904068885818
"GO:0048519","BP","negative regulation of biological process",5626,5439,2.97111520307875e-05,0.00341911582008749
"GO:0015075","MF","monoatomic ion transmembrane transporter activity",711,700,3.13544890341746e-05,0.00358943577589145
"GO:0070848","BP","response to growth factor",775,762,3.39569963644381e-05,0.00386722683984637
"GO:0006814","BP","sodium ion transport",240,240,3.5095717434774e-05,0.0039763086042079
"GO:0070887","BP","cellular response to chemical stimulus",2215,2155,3.8501901161186e-05,0.0043398553206301
"GO:0015267","MF","channel activity",476,471,4.00283207900132e-05,0.00446610401504817
"GO:0022803","MF","passive transmembrane transporter activity",476,471,4.00283207900132e-05,0.00446610401504817
"GO:0048871","BP","multicellular organismal-level homeostasis",842,827,4.0802578830365e-05,0.00452949839743143
"GO:0009893","BP","positive regulation of metabolic process",3454,3351,4.10110012084869e-05,0.00452975782192232
"GO:0048646","BP","anatomical structure formation involved in morphogenesis",1272,1244,4.15931615944504e-05,0.00457108845923009
"GO:0048609","BP","multicellular organismal reproductive process",954,935,4.48136416924262e-05,0.00490051663880363
"GO:0009593","BP","detection of chemical stimulus",388,383,4.53001463896901e-05,0.00492919414675935
"GO:0015849","BP","organic acid transport",339,337,4.58053443602458e-05,0.00495961314797144
"GO:0046942","BP","carboxylic acid transport",338,336,4.79802244987913e-05,0.00516963399256585
"GO:0048585","BP","negative regulation of response to stimulus",1830,1783,5.46302691886829e-05,0.00585743081349878
"GO:0097447","CC","dendritic tree",594,586,5.85289195025333e-05,0.00624497888672661
"GO:0097485","BP","neuron projection guidance",234,234,6.1141797175504e-05,0.00647747347082795
"GO:0001217","MF","DNA-binding transcription repressor activity",289,288,6.12972921716203e-05,0.00647747347082795
"GO:0030425","CC","dendrite",592,584,6.23682835608337e-05,0.00655911422328768
"GO:0019219","BP","regulation of nucleobase-containing compound metabolic process",3771,3655,6.34067377258828e-05,0.00663324861881792
"GO:0007411","BP","axon guidance",233,233,6.36767724554405e-05,0.00663324861881792
"GO:0010604","BP","positive regulation of macromolecule metabolic process",3144,3051,6.97189099818731e-05,0.00722840396887533
"GO:0005216","MF","monoatomic ion channel activity",420,416,7.07570358559916e-05,0.00730159459208777
"GO:0043565","MF","sequence-specific DNA binding",1536,1499,7.12698449120992e-05,0.00732014575312122
"GO:0022414","BP","reproductive process",1544,1506,7.3875294729025e-05,0.00755246036346033
"GO:0005509","MF","calcium ion binding",676,665,7.44967948530325e-05,0.00757101686562862
"GO:0071363","BP","cellular response to growth factor stimulus",745,732,7.47457079090723e-05,0.00757101686562862
"GO:0010975","BP","regulation of neuron projection development",425,421,7.71021703324643e-05,0.00777387937572277
"GO:0015318","MF","inorganic molecular entity transmembrane transporter activity",678,667,7.95838378497044e-05,0.00798745550655937
"GO:0016324","CC","apical plasma membrane",411,407,8.13074498204193e-05,0.00812335339569462
"GO:0007283","BP","spermatogenesis",628,618,8.33127351447964e-05,0.00828603583023812
"GO:0098660","BP","inorganic ion transmembrane transport",887,870,8.82128007878294e-05,0.00873386198791212
"GO:0001227","MF","DNA-binding transcription repressor activity, RNA polymerase II-specific",279,278,8.96809212182554e-05,0.00883940201066033
"GO:0009987","BP","cellular process",16619,15963,9.19057501743268e-05,0.00901825173585582
"GO:0008092","MF","cytoskeletal protein binding",963,944,9.51613989198513e-05,0.00929621132559258
"GO:0003018","BP","vascular process in circulatory system",273,272,9.72930334569719e-05,0.00942269554741844
"GO:0043010","BP","camera-type eye development",373,370,9.73135527417646e-05,0.00942269554741844
"GO:0007188","BP","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",268,267,9.85508601977169e-05,0.00950064871555184
"GO:0060322","BP","head development",769,756,0.000100786367415523,0.00967373081132397
"GO:0009968","BP","negative regulation of signal transduction",1480,1444,0.000102262311488958,0.00977272002837951
"GO:0048523","BP","negative regulation of cellular process",5403,5221,0.000104088259138098,0.00990415556647353
"GO:0006897","BP","endocytosis",699,687,0.000112731962771539,0.010680381645338
"GO:0001894","BP","tissue homeostasis",268,267,0.000117802426075089,0.0110653731843182
"GO:0060249","BP","anatomical structure homeostasis",268,267,0.000117802426075089,0.0110653731843182
"GO:0030036","BP","actin cytoskeleton organization",704,692,0.000118338504715436,0.011068426951682
"GO:0006936","BP","muscle contraction",361,358,0.000124141739250388,0.0115620145284896
"GO:0009952","BP","anterior/posterior pattern specification",214,214,0.000130639239705629,0.0121158248469609
"GO:0051216","BP","cartilage development",210,210,0.000131336398535643,0.0121293026882918
"GO:0002521","BP","leukocyte differentiation",625,615,0.000132444039102746,0.0121804183241773
"GO:0003824","MF","catalytic activity",5235,5060,0.00013555250474148,0.0124143502259072
"GO:0051046","BP","regulation of secretion",620,610,0.000143955982699334,0.0131292634843625
"GO:0001775","BP","cell activation",1117,1092,0.000145823389794231,0.0132446202796579
"GO:0050907","BP","detection of chemical stimulus involved in sensory perception",350,345,0.000149606978118508,0.0135323513540939
"GO:0005975","BP","carbohydrate metabolic process",547,539,0.000150638090406473,0.0135697755210421
"GO:0048598","BP","embryonic morphogenesis",629,619,0.000155348813156571,0.0139370078089038
"GO:0140096","MF","catalytic activity, acting on a protein",2166,2106,0.000158230189065285,0.0141378030717681
"GO:0051960","BP","regulation of nervous system development",444,439,0.000161730900112016,0.0143920857670531
"GO:0031344","BP","regulation of cell projection organization",638,628,0.000163706002541457,0.0145091045800856
"GO:0007264","BP","small GTPase-mediated signal transduction",479,473,0.000166537000474526,0.0147007360258236
"GO:0008514","MF","organic anion transmembrane transporter activity",258,257,0.000174854768097399,0.0153732312111233
"GO:0045935","BP","positive regulation of nucleobase-containing compound metabolic process",2033,1978,0.000176192105642914,0.0154290935539094
"GO:0051093","BP","negative regulation of developmental process",986,965,0.000180393647073909,0.0157343347725576
"GO:0080090","BP","regulation of primary metabolic process",4980,4815,0.000184439625982597,0.0160236481387252
"GO:0048232","BP","male gamete generation",645,634,0.000185960212873488,0.0160921475549577
"GO:0045202","CC","synapse",1606,1566,0.000189446145633023,0.0163295148275053
"GO:0042127","BP","regulation of cell population proliferation",1681,1637,0.000194571067416698,0.0166435433533735
"GO:0009611","BP","response to wounding",574,565,0.000194603759864285,0.0166435433533735
"GO:0034702","CC","monoatomic ion channel complex",348,345,0.000199279058643296,0.0169773399572855
"GO:0031253","CC","cell projection membrane",349,346,0.000205440050230368,0.0174346421006313
"GO:0006816","BP","calcium ion transport",421,416,0.000207616367936921,0.0175515683355904
"GO:0005911","CC","cell-cell junction",506,499,0.00021652329730191,0.018234414079295
"GO:0042802","MF","identical protein binding",2117,2058,0.000218031157707287,0.0182913162076571
"GO:0046873","MF","metal ion transmembrane transporter activity",426,421,0.00022721081781051,0.0189889497166351
"GO:0140677","MF","molecular function activator activity",1155,1128,0.000239545118838988,0.0199439458790945
"GO:1901700","BP","response to oxygen-containing compound",1674,1630,0.000244738473963593,0.0202342397212551
"GO:0007389","BP","pattern specification process",468,462,0.00024487296477952,0.0202342397212551
"GO:0005694","CC","chromosome",1899,1848,0.000251362577385312,0.0206926945727684
"GO:0061448","BP","connective tissue development",299,297,0.000252381637059255,0.0206990611289643
"GO:1990351","CC","transporter complex",492,485,0.000255957446492213,0.0209142924680254
"GO:0120035","BP","regulation of plasma membrane bounded cell projection organization",620,610,0.00026629235261814,0.0216781700390619
"GO:0007608","BP","sensory perception of smell",336,331,0.000275621178118073,0.0223548099447795
"GO:0045165","BP","cell fate commitment",298,296,0.000291197206169415,0.023531303645602
"GO:0005667","CC","transcription regulator complex",498,491,0.000297371304293941,0.0239422024482814
"GO:0097060","CC","synaptic membrane",423,418,0.000304160138901752,0.0243994155221187
"GO:0009986","CC","cell surface",858,840,0.000315539888727812,0.0252202427426811
"GO:0008283","BP","cell population proliferation",1999,1943,0.000335167457186976,0.0266919590904701
"GO:0001664","MF","G protein-coupled receptor binding",280,278,0.000337168084017177,0.026754348327428
"GO:0009914","BP","hormone transport",330,327,0.000354152658336124,0.0280009907562158
"GO:0030312","CC","external encapsulating structure",476,469,0.000359510426180891,0.0283227210303082
"GO:0006955","BP","immune response",1804,1753,0.000361108310457055,0.0283470023708788
"GO:0098655","BP","monoatomic cation transmembrane transport",833,816,0.000362626917104708,0.0283649097436352
"GO:0031012","CC","extracellular matrix",475,468,0.000369338896390591,0.0287874785200893
"GO:0006959","BP","humoral immune response",262,260,0.000379528189873618,0.0294771364431877
"GO:0060090","MF","molecular adaptor activity",1316,1284,0.000391000106653792,0.0302612054375012
"GO:0007420","BP","brain development",719,706,0.0003948486815002,0.0304518386644715
"GO:0098802","CC","plasma membrane signaling receptor complex",183,183,0.000398003646900818,0.0305878327233566
"GO:0030234","MF","enzyme regulator activity",1327,1294,0.000400521078390713,0.0306740533206546
"GO:0042886","BP","amide transport",325,322,0.000412537685219444,0.031484646948345
"GO:0098552","CC","side of membrane",677,664,0.000414426400432757,0.0315193504550588
"GO:0045229","BP","external encapsulating structure organization",322,319,0.000423257853643533,0.0320800262864995
"GO:0005342","MF","organic acid transmembrane transporter activity",180,180,0.000425465522074888,0.0321365366845568
"GO:0015833","BP","peptide transport",282,280,0.00043340597177193,0.032624189245024
"GO:0043062","BP","extracellular structure organization",321,318,0.000440513562423881,0.0330460344780782
"GO:0046943","MF","carboxylic acid transmembrane transporter activity",179,179,0.000448805700302485,0.0335535690226143
"GO:0030198","BP","extracellular matrix organization",320,317,0.000456165031936128,0.0339881606845969
"GO:0006793","BP","phosphorus metabolic process",1796,1747,0.000458867852516972,0.0340740385078481
"GO:0007517","BP","muscle organ development",365,361,0.000461227261962028,0.034133923292678
"GO:0006796","BP","phosphate-containing compound metabolic process",1794,1745,0.00047390298099244,0.0349543205443417
"GO:0033993","BP","response to lipid",944,923,0.000478439869771219,0.0351709308948876
"GO:0055074","BP","calcium ion homeostasis",318,315,0.000485240353023312,0.0355519431981747
"GO:0071840","BP","cellular component organization or biogenesis",6602,6371,0.000489114235038465,0.03571671390746
