"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:1903305","regulation of regulated secretory pathway",119,0.508009295297534,1.24541228017981,0.00568867929109876,0.0319111530096567,0.0223445744613598,9578,"tags=63%, list=39%, signal=39%","FES/RAC2/HLA-F/NPY/KCNB1/UNC13D/CDK5R2/CEACAM1/ZP3/LYN/GATA2/PRKCB/SYT1/SLC4A8/GIT1/SYK/NLGN1/SYT10/RAB3A/IL13/SV2C/ADORA2B/PRAM1/RIMS2/SYT6/LRRK2/GNAI2/RAP1A/PLA2G3/ATP2A2/PRKCG/SYT8/SYT12/SYT2/RIMS4/CSPG5/SYT9/SYT7/DOC2A/SYT15/CBARP/FOXF1/PPFIA2/RAB15/ITGB2/BAIAP3/TRPV6/DOC2B/SYT5/CACNB4/SYT3/ADRA2A/RIMS3/CCR2/RIMS1/BCR/GAB2/STX4/GPR151/LAMP1/RPH3A/FGR/FBXL20/P2RY1/WNT7A/RAB3D/CALM3/P2RX1/F2RL1/STX1A/ADGRE2/STXBP1/DTNBP1/VAMP8/NCKAP1L"
"BP","GO:0031396","regulation of protein ubiquitination",180,0.488450630230148,1.21511663605001,0.00568867929109876,0.0319111530096567,0.0223445744613598,9319,"tags=47%, list=38%, signal=30%","TSPYL5/USP44/HSPA1A/USP4/CAMLG/SPRY2/TBC1D7/PTTG1IP/SH3RF2/UBXN2A/PRICKLE1/CDKN2A/PRKCE/RASSF5/CDC14B/DNAJB2/RASSF1/UBE2V1/MAPK9/PTPN22/TRAF6/CAV1/RBX1/TRIM44/TGFBR1/NGF/LRRK2/FOXF2/PRKCG/ARRB1/FBXO2/IVNS1ABP/BIRC2/PARP10/AXIN1/GCLC/NXN/NMI/UBXN1/WNK1/ANGPT1/SQSTM1/CBLB/WBP1L/MINAR1/SEPTIN4/DAXX/FAM107A/SPHK1/BAG5/HSPBP1/SASH1/FBXW7/VPS28/N4BP1/UBE3A/DCUN1D1/INAVA/UBE2S/NHLRC1/BIRC3/RNF180/FANCM/ATG5/TNFAIP3/KLHL40/HSP90AA1/PABPN1L/HERPUD1/CHFR/U2AF2/ABL1/NOD2/GSK3A/PHF23/MTA1/HAMP/BCL10/SPSB4/DERL1/CENPS/NDFIP1/PLK1/PER2/CDK5RAP3"
"BP","GO:1903426","regulation of reactive oxygen species biosynthetic process",45,0.57873406516664,1.3437067547139,0.00569436797038986,0.0319212003268261,0.0223516097140992,3599,"tags=31%, list=15%, signal=27%","DUOXA1/UCP1/CYBA/HVCN1/DUOXA2/CFLAR/GRIN1/TLR6/ALOX5/LCN2/SNCA/STAT3/CA3/PPARA"
"BP","GO:0021772","olfactory bulb development",35,0.601349634820032,1.3797088146949,0.00570006803842828,0.0319312976981721,0.0223586800153771,6565,"tags=57%, list=27%, signal=42%","WNT5A/ERBB4/GSX2/EXT1/LHX2/SALL1/NR2E1/SLIT1/FEZF1/LRRK2/ZIC1/SALL3/EOMES/DLX2/DLX5/SLIT2/SRF/ROBO2/ROBO1/UNCX"
"BP","GO:0050871","positive regulation of B cell activation",83,0.529710768357581,1.2755051825051,0.00576304005991317,0.0321959741409883,0.0225440096549199,5467,"tags=35%, list=22%, signal=27%","STAT6/HMCES/VAV3/BCL2/CLCF1/WNT3A/MMP14/PRLR/BCL6/BST1/TIRAP/GPR183/CD74/TNFRSF13C/SYK/IL13/CARD11/STAT5A/TBX21/NFATC2/CDKN1A/CD38/MEF2C/IRS2/PCID2/CD40/STAT5B/CD27/EPHB2"
"BP","GO:0007229","integrin-mediated signaling pathway",114,0.511499297774152,1.25259610237529,0.00576304005991317,0.0321959741409883,0.0225440096549199,9970,"tags=66%, list=41%, signal=39%","NID1/ITGB8/ITGA4/COL16A1/FERMT1/ADAMTS1/VAV3/ADAM11/CD63/CCN1/DST/ITGA7/CEACAM1/CCM2/BST1/MADCAM1/LIMS2/LOXL3/PTN/SERPINE1/ITGA2/SYK/CD47/LIMS1/LAMB1/PRAM1/CCN2/NRP1/ITGAX/FYB1/MIR92B/ITGAL/SEMA7A/SRC/THY1/ITGA2B/BCAR1/ITGB4/ITGB2/PRKD1/TLN1/FN1/ITGB7/ITGA5/NEDD9/LAMA2/FYB2/ITGA11/CTNNA1/ADAM15/FERMT3/PTK2/NME2/CDC42/FERMT2/MYH9/EMP2/ABL1/ITGB3/FGR/LAMA5/LAT/ITGB5/COL3A1/ITGAV/VTN/HCK/ADAMTS13/VAV1/DOCK1/LAMC1/PLPP3/TSPAN32/ITGB1/LAMB2"
"BP","GO:0032963","collagen metabolic process",113,0.50700348348923,1.24118758345951,0.00576304005991317,0.0321959741409883,0.0225440096549199,9344,"tags=58%, list=38%, signal=36%","RUNX1/MMP25/BMP4/VIM/FURIN/INHBA/MMP9/F2R/MMP14/RETREG1/PCOLCE/ITGA2/P3H2/RGCC/TGFB3/KLK6/MMP28/UCN/SCX/RAP1A/CREB3L1/MMP23B/CYGB/PRDX5/IHH/COL1A1/LARP6/EMILIN1/MRC2/CBX8/MMP2/TMPRSS6/WNT4/TNXB/PPARD/CTSB/MYB/MMP24/MMP16/HIF1A/P2RX7/ADAM15/MFAP4/P3H3/CIITA/VSIR/SERPINF2/MIR21/TNS2/MMP1/MMP19/SUCO/MMP11/COL6A1/COL5A1/FOSL2/SERPINH1/C6orf89/TGFB1/ERRFI1/MMP21/IL6R/COL1A2/PRTN3/KLF15"
"BP","GO:0006631","fatty acid metabolic process",399,0.455287548594912,1.15287429462627,0.00576304005991317,0.0321959741409883,0.0225440096549199,9635,"tags=46%, list=39%, signal=29%","FABP5/IRS1/ACBD4/AKR1B1/ALOX12/PLIN5/EHHADH/AVP/ELOVL3/SLC27A3/TNFRSF1A/CPT1C/ECHDC1/GSTM4/PPARG/AVPR1A/LPGAT1/PDK4/SOX9/ACOT1/GSTM1/ALOXE3/FABP3/HACD1/ABHD2/GSTP1/ACSF2/TWIST1/CYP1B1/ACOT12/LTC4S/CEACAM1/ANGPTL4/ADH5/LEP/ACOT7/PDK2/ALOX5/GPX4/AOAH/ACOT4/GSTM2/DCAF5/PPARGC1A/CYP1A1/CD74/SNCA/PTGS1/ANKRD23/PTGES/CPT1B/CAV1/PTGS2/HACD4/UGT1A6/ABHD1/SLC27A2/FADS2/PRKAG2/CBR4/SCD5/HSD17B8/PLA2G3/LIPG/FADS3/ETFB/CYGB/ECHDC3/ALOX15/NR1H3/ACSM6/GHSR/PPARA/UBR4/ECHDC2/ACSS1/ELOVL4/ACSL5/ACOXL/HPGD/CROT/ACOT2/PRKAR2B/CTHRC1/SLC27A1/ETFBKMT/PTGES3/IRS2/HSD17B12/LPL/ALDH3A2/TNXB/EDN1/ELOVL7/PPARD/TPK1/ALOX15B/PM20D1/ACADL/ADIPOR1/IL1B/ABCC9/GGT1/CYP4B1/ACOT6/ALDH1L2/ACSL1/ACSM5/PNPLA8/SCD/FADS6/PEX5/CYP2U1/PNPLA3/CPT1A/ACOT11/ALOX12B/NUDT19/ACAT1/ABHD3/FMO1/SREBF1/CYP2C18/ACACB/FADS1/CPT2/PTGR1/PTGR2/AKT2/KAT2B/LPIN1/ACSL6/PEDS1/KLHL25/TYSND1/ACADVL/ACOT8/SLC45A3/ADIPOQ/ALKBH7/PRKAA2/GPAT4/PLA2G1B/PTGIS/PLA2G15/LONP2/MLXIPL/SCP2/APOA5/PRKAB1/CYP1A2/PLA2G4C/MFSD2A/SESN2/BCKDK/ACAD10/COMT/MSMO1/IVD/XBP1/LPIN3/MGLL/ABHD5/ACAT2/EDN2/ABHD6/ELOVL2/DECR2/SIRT2/GPX1/PANK2/GDF15/AIG1/ASAH1/PER2/ECI1/CRYL1/MTLN/MORC2/INSIG2/PLA2G4D/PECR/DEGS1/ACOX2"
"BP","GO:0072202","cell differentiation involved in metanephros development",22,0.662949423513531,1.46781858475404,0.00583296572292526,0.032564409864184,0.0228019927948171,6294,"tags=77%, list=26%, signal=58%","WWTR1/SIX2/OSR1/POU3F3/SALL1/PAX2/NPHS2/GDNF/WNT9B/GREM1/CD34/WNT4/PDGFB/TCF21/LIF/SMO/PAX8"
"BP","GO:0008360","regulation of cell shape",134,0.503049708793818,1.23925687892682,0.00583740084204028,0.0325669706378133,0.0228037858794173,9185,"tags=60%, list=37%, signal=38%","EPB41L3/PDPN/FES/COCH/RAC2/PALM2AKAP2/YPEL4/PLEKHO1/LPAR1/KIT/C15orf62/PARVA/ITGA7/TPM1/MYH14/PALM3/LIMD1/NF2/F11R/RHOBTB1/RHOBTB2/BAIAP2/SHROOM3/DNMBP/MARK2/CDC42EP5/RHOQ/CFDP1/GNA13/FBLIM1/PEAK3/MYO10/PLXNB2/CYFIP1/CRK/CORO1A/CDC42EP1/BAMBI/PRAG1/SEMA4A/DMTN/PALM/KDR/DAPK3/PLXNB1/SYNE3/FMNL1/FGD3/RHOU/ITGB2/ATP10A/FN1/PLXNC1/WDR1/RDX/HEXB/MIR21/ARHGAP35/PTK2/SEPTIN7/PLXND1/ARHGAP18/S100B/FERMT2/MYH9/ARAP1/GAS2/PARVG/PALMD/RHOJ/FGD4/FMNL2/FGR/P2RY1/CFAP410/VEGFA/EZR/BRWD1/FAM171A1/ERMN"
